日期Date	指数代码Index Code	指数中文全称Index Chinese Name(Full)	指数中文简称Index Chinese Name	指数英文全称Index English Name(Full)	指数英文简称Index Chinese Name	开盘Open	最高High	最低Low	收盘Close	涨跌Change	涨跌幅(%)Change(%)	成交量（万手）Volume(M Shares)	成交金额（亿元）Turnover	样本数量ConsNumber
20200307	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1479.11	1486.59	1432.77	1433.64	-74.66	-4.95	2298.92	245.46	50
20200309	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1479.11	1486.59	1432.77	1433.64	-74.66	-4.95	2298.92	245.46	50
20200310	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1417.83	1480.50	1414.10	1479.87	46.23	3.22	2297.19	245.15	50
20200311	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1482.35	1488.27	1449.39	1449.39	-30.48	-2.06	1981.92	217.13	50
20200312	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1429.27	1437.12	1406.92	1422.55	-26.84	-1.85	1659.68	181.90	50
20200313	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1346.79	1425.30	1346.79	1411.43	-11.12	-0.78	2346.37	222.04	50
20200316	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1419.93	1421.20	1342.06	1344.05	-67.38	-4.77	2296.60	237.48	50
20200317	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1365.45	1376.38	1308.26	1356.73	12.68	0.94	1958.81	189.23	50
20200318	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1369.97	1395.70	1330.15	1330.23	-26.49	-1.95	2103.76	208.42	50
20200319	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1331.62	1354.07	1308.78	1350.99	20.76	1.56	2026.78	197.47	50
20200320	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1366.49	1380.74	1348.30	1373.84	22.85	1.69	1566.05	170.59	50
20200323	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1333.82	1358.08	1314.83	1321.31	-52.53	-3.82	1566.50	150.10	50
20200324	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1349.99	1352.44	1294.15	1332.42	11.11	0.84	1966.61	181.06	50
20200325	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1362.07	1374.80	1350.25	1371.72	39.30	2.95	1827.12	181.93	50
20200326	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1363.37	1383.39	1357.39	1360.99	-10.73	-0.78	1301.15	144.25	50
20200327	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1376.89	1377.75	1342.31	1342.82	-18.17	-1.34	1197.92	130.07	50
20200330	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1319.39	1319.39	1270.73	1291.24	-51.59	-3.84	1572.22	152.04	50
20200331	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1305.70	1309.35	1289.17	1292.86	1.62	0.13	1336.50	114.77	50
20200401	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1289.51	1311.12	1283.36	1286.08	-6.78	-0.52	1329.44	116.20	50
20200402	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1280.97	1316.28	1279.25	1316.17	30.09	2.34	1247.58	123.22	50
20200403	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1313.89	1316.24	1294.88	1301.97	-14.20	-1.08	1387.43	123.33	50
20200407	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1324.37	1346.50	1323.88	1344.48	42.51	3.27	1780.70	157.75	50
20200408	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1338.44	1351.45	1336.09	1345.01	0.54	0.04	1647.32	150.22	50
20200409	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1353.32	1370.66	1349.76	1365.74	20.72	1.54	1694.99	163.51	50
20200410	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1366.04	1366.04	1317.58	1321.45	-44.29	-3.24	1660.97	180.60	50
20200413	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1310.26	1310.61	1282.78	1287.70	-33.75	-2.55	1190.75	119.60	50
20200414	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1296.55	1336.58	1296.55	1336.58	48.88	3.80	1373.74	154.19	50
20200415	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1337.28	1350.66	1330.83	1332.63	-3.94	-0.30	1509.61	144.63	50
20200416	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1329.79	1356.22	1325.05	1352.60	19.97	1.50	1498.85	140.18	50
20200417	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1359.81	1370.56	1347.80	1350.47	-2.13	-0.16	1659.19	167.48	50
20200420	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1350.14	1365.62	1346.68	1364.23	13.76	1.02	1532.68	151.91	50
20200421	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1358.86	1364.54	1344.42	1362.60	-1.63	-0.12	1478.82	152.31	50
20200422	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1351.16	1372.20	1347.93	1372.20	9.60	0.70	1384.22	134.79	50
20200423	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1373.79	1375.15	1344.98	1350.59	-21.62	-1.58	1357.06	142.90	50
20200424	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1349.17	1352.55	1326.98	1332.53	-18.05	-1.34	1317.78	139.20	50
20200427	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1337.96	1344.35	1328.79	1330.28	-2.25	-0.17	1284.59	123.77	50
20200428	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1330.58	1335.75	1282.38	1325.08	-5.20	-0.39	1629.91	156.10	50
20200429	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1316.37	1348.19	1316.37	1337.14	12.06	0.91	1223.67	129.08	50
20200430	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1348.73	1377.06	1348.73	1371.57	34.44	2.58	1643.96	176.43	50
20200506	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1359.86	1401.57	1358.45	1399.94	28.36	2.07	1791.61	198.43	50
20200507	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1399.57	1408.58	1390.58	1394.88	-5.06	-0.36	1584.59	180.93	50
20200508	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1402.56	1416.24	1399.77	1409.48	14.61	1.05	1459.33	162.19	50
20200511	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1419.03	1425.89	1398.81	1406.81	-2.67	-0.19	1578.70	174.36	50
